transaction_id,customer_id,transaction_datetime,transaction_type,direction,amount_usd,transaction_country,status
T0071,C033,2026-05-01 07:29:00,Cash Withdrawal,Credit,900.44,India,Completed
T0072,C059,2026-01-18 08:49:00,Cash Deposit,Debit,964.85,Germany,Completed
T0073,C053,2026-08-10 04:28:00,Cash Withdrawal,Debit,1955.11,United Kingdom,Completed
T0074,C036,2026-08-11 06:44:00,Wire,Debit,1016.48,Canada,Pending
T0075,C003,2026-04-08 12:42:00,Wire,Debit,272.64,United States,Completed
T0076,C033,2026-08-05 14:06:00,Cash Withdrawal,Debit,1627.97,United States,Completed
T0077,C027,2026-01-21 10:54:00,Cash Withdrawal,Debit,169.02,United Kingdom,Pending
T0078,C056,2026-06-25 09:14:00,ACH,Debit,592.26,United States,Completed
T0079,C029,2026-01-15 09:22:00,Card,Debit,21353.11,Canada,Completed
T0080,C034,2026-02-14 02:39:00,Cash Deposit,Credit,306.69,India,Declined
T0081,C010,2026-06-20 00:57:00,Cash Deposit,Debit,138.54,Singapore,Declined
T0082,C011,2026-08-07 15:06:00,Wire,Debit,443.14,Germany,Completed
T0083,C037,2026-04-12 08:00:00,Cash Withdrawal,Credit,39051.31,Germany,Pending
T0084,C054,2026-06-05 11:14:00,Wire,Debit,1301.57,Singapore,Completed
T0085,C041,2026-07-21 14:02:00,Cash Withdrawal,Debit,77.09,Singapore,Completed
T0086,C006,2026-02-21 04:50:00,Cash Withdrawal,Debit,1399.31,Germany,Declined
T0087,C059,2026-05-04 09:47:00,Card,Credit,308.87,India,Completed
T0088,C010,2026-06-22 12:54:00,Cash Withdrawal,Debit,865.26,United States,Pending
T0089,C001,2026-07-11 21:16:00,Cash Withdrawal,Debit,310.73,Singapore,Completed
T0090,C007,2026-05-24 10:58:00,Cash Withdrawal,Credit,869.14,Singapore,Completed
T0091,C041,2026-01-10 09:31:00,ACH,Credit,277.69,Canada,Declined
T0092,C009,2026-06-28 17:26:00,Cash Withdrawal,Credit,363.69,India,Completed
T0093,C054,2026-01-09 22:23:00,Wire,Debit,477.77,India,Completed
T0094,C055,2026-01-16 12:17:00,Wire,Credit,48.66,India,Completed
T0095,C043,2026-01-13 10:15:00,Wire,Credit,125.21,United States,Declined
T0096,C014,2026-07-18 04:50:00,Cash Withdrawal,Credit,1088.66,United Kingdom,Completed
T0097,C009,2026-08-10 00:08:00,ACH,Debit,693.96,Canada,Declined
T0098,C021,2026-01-17 15:28:00,Card,Credit,163.07,India,Declined
T0099,C015,2026-01-16 15:54:00,Cash Deposit,Debit,527.37,Singapore,Completed
T0100,C032,2026-03-24 19:09:00,ACH,Credit,948.46,United Kingdom,Declined
